# 116 angles,  1 tensor ranks for 0=projectile
@subtitle   "alpha+28Si elastic Scattering at 28 MeV"                                       
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@xaxis label "Scattering angle (degrees)"
@yaxis label "Cross section (mb/sr)"
@legend string   0 "Partition=  1 Excit=  1 near/far= 1"
#legend string   0 "Lab energy =   28.0000"
@s0 linestyle   1
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   5.000       1.013    
   6.500      0.8675    
   8.000      0.7688    
   9.500      0.7558    
   11.00      0.7815    
   12.50      0.7771    
   14.00      0.7022    
   15.50      0.5636    
   17.00      0.4049    
   18.50      0.2809    
   20.00      0.2306    
   21.50      0.2614    
   23.00      0.3477    
   24.50      0.4434    
   26.00      0.5012    
   27.50      0.4911    
   29.00      0.4109    
   30.50      0.2855    
   32.00      0.1560    
   33.50      0.6444E-01
   35.00      0.3802E-01
   36.50      0.8081E-01
   38.00      0.1734    
   39.50      0.2807    
   41.00      0.3649    
   42.50      0.3977    
   44.00      0.3689    
   45.50      0.2887    
   47.00      0.1828    
   48.50      0.8322E-01
   50.00      0.1807E-01
   51.50      0.3024E-02
   53.00      0.3731E-01
   54.50      0.1051    
   56.00      0.1815    
   57.50      0.2405    
   59.00      0.2635    
   60.50      0.2444    
   62.00      0.1910    
   63.50      0.1217    
   65.00      0.5978E-01
   66.50      0.2539E-01
   68.00      0.2968E-01
   69.50      0.7146E-01
   71.00      0.1378    
   72.50      0.2084    
   74.00      0.2616    
   75.50      0.2815    
   77.00      0.2620    
   78.50      0.2089    
   80.00      0.1380    
   81.50      0.7016E-01
   83.00      0.2539E-01
   84.50      0.1737E-01
   86.00      0.4976E-01
   87.50      0.1155    
   89.00      0.1988    
   90.50      0.2797    
   92.00      0.3388    
   93.50      0.3622    
   95.00      0.3447    
   96.50      0.2904    
   98.00      0.2118    
   99.50      0.1264    
   101.0      0.5336E-01
   102.5      0.8691E-02
   104.0      0.2633E-02
   105.5      0.3741E-01
   107.0      0.1070    
   108.5      0.1983    
   110.0      0.2937    
   111.5      0.3749    
   113.0      0.4261    
   114.5      0.4372    
   116.0      0.4062    
   117.5      0.3394    
   119.0      0.2502    
   120.5      0.1560    
   122.0      0.7472E-01
   123.5      0.2081E-01
   125.0      0.2345E-02
   126.5      0.1955E-01
   128.0      0.6536E-01
   129.5      0.1276    
   131.0      0.1923    
   132.5      0.2473    
   134.0      0.2842    
   135.5      0.3004    
   137.0      0.2976    
   138.5      0.2804    
   140.0      0.2540    
   141.5      0.2222    
   143.0      0.1866    
   144.5      0.1479    
   146.0      0.1064    
   147.5      0.6509E-01
   149.0      0.2971E-01
   150.5      0.8820E-02
   152.0      0.1151E-01
   153.5      0.4418E-01
   155.0      0.1073    
   156.5      0.1933    
   158.0      0.2871    
   159.5      0.3687    
   161.0      0.4186    
   162.5      0.4236    
   164.0      0.3810    
   165.5      0.3016    
   167.0      0.2071    
   168.5      0.1253    
   170.0      0.8249E-01
   171.5      0.9600E-01
   173.0      0.1684    
   174.5      0.2860    
   176.0      0.4221    
   177.5      0.5434    
 END
